Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
7af6b271-f16d-21e1-882a-7bff71005a7b,1960-11-08,,999-70-6004,S99943379,X35537179X,Mr.,Benedict104,,Gibson10,,,S,white,nonhispanic,M,Littleton  Massachusetts  US,198 Bauch Flat Apt 27,Barnstable,Massachusetts,Barnstable County,25001,02668,41.639415284574255,-70.46439165267942,17491.43,523871.40,6976
355a4d50-2628-aa65-c336-deacf4d606fb,1956-10-18,,999-50-4092,S99928203,X86830915X,Mr.,Emmanuel930,Dexter530,Considine820,,,S,black,nonhispanic,M,Milford  Massachusetts  US,319 Ondricka Flat Unit 33,Hanover,Massachusetts,Plymouth County,,00000,42.094360169623656,-70.87486271265,33830.79,462521.31,74777
0b786670-17af-32e1-b2d2-f77c33874b30,1964-06-23,2023-08-22,999-15-6624,S99990005,X28635539X,Mr.,Angel97,Elvin140,Mraz590,,,M,black,nonhispanic,M,Springfield  Massachusetts  US,127 Spencer Estate Unit 97,Boston,Massachusetts,Suffolk County,25025,02131,42.321170096555036,-71.09325448207512,245397.84,124955.08,47024
2211f478-b7b4-7711-16cf-84ffb52b9d2b,1984-10-08,2016-06-03,999-44-8196,S99957364,X69811230X,Ms.,Francine922,Necole468,Hyatt152,,,S,white,nonhispanic,F,Franklin  Massachusetts  US,741 Ritchie Mill Unit 51,Marlborough,Massachusetts,Middlesex County,25017,01752,42.35240134378961,-71.50969979018177,20104.52,1285292.19,11818
716c6d0a-2a5d-0aaa-9ced-312ed6a943da,1964-06-23,2015-02-10,999-97-3286,S99943920,X79780818X,Mr.,Lance203,Jamel269,Padberg411,,,M,black,nonhispanic,M,Taunton  Massachusetts  US,1097 Macejkovic Heights,Boston,Massachusetts,Suffolk County,25025,02110,42.38548810814354,-71.06572309951181,119934.15,71248.59,47024
57efda89-b582-bb08-8a2d-e06b2c184bfc,1975-10-22,,999-47-4932,S99918750,X48794510X,Mr.,Pat3,Owen89,Rutherford999,,,M,white,nonhispanic,M,Cochituate  Massachusetts  US,955 Schulist Landing Apt 5,Lynn,Massachusetts,Essex County,25009,01940,42.515687529906614,-70.88895463608272,767951.91,506201.65,41102
ee4b7339-ca58-b6af-c199-04b6d5761c73,2026-05-27,,999-98-1610,,,,Stanton715,Antony83,Schimmel440,,,,white,nonhispanic,M,Palmer  Massachusetts  US,330 Jakubowski Rest,Granby,Massachusetts,Hampshire County,25015,01033,42.26849247943158,-72.49151681832407,620.18,0.00,131616
3314e296-2326-2826-271d-a7be5b896db9,1990-05-27,,999-47-6897,S99931304,X54049127X,Mrs.,Micah422,Sherie778,Shanahan202,,Hirthe744,M,white,hispanic,F,Bourne  Massachusetts  US,991 Orn Dam Suite 51,Holden,Massachusetts,Worcester County,,00000,42.38762326967287,-71.86116736597332,231250.67,800431.40,128123
bca1691f-8839-1d66-ed01-471134d55738,1944-10-11,,999-94-3814,S99989599,X58161126X,Mr.,Cole117,Dario75,Corwin846,,,D,white,nonhispanic,M,Ashland  Massachusetts  US,566 Hartmann Parade,Boston,Massachusetts,Suffolk County,25025,02114,42.37098107981268,-71.11084517894488,355471.48,787323.10,105055
5693c080-f485-91e7-54b9-ad9a8c12af62,1973-03-25,,999-35-4010,S99986979,X35073499X,Mr.,Maurice742,Marcos263,Auer97,,,M,black,nonhispanic,M,Boston  Massachusetts  US,628 Emard Walk Suite 0,Andover,Massachusetts,Essex County,25009,01810,42.6696266710046,-71.12336177093403,212085.46,218037.69,120467
